Date,SZ300298.Close
2012/03/19,35.83
2012/04/05,38.0
2012/05/02,41.89
2012/06/01,47.2
2012/07/02,50.1
2012/08/01,50.17
2012/09/03,49.42
2012/10/08,50.03
2012/11/01,51.15
2012/12/03,52.91
2013/01/04,60.66
2013/02/01,60.23
2013/03/01,62.63
2013/04/01,44.59
2013/05/02,44.29
2013/06/03,44.38
2013/07/01,48.74
2013/08/01,51.09
2013/09/02,53.17
2013/10/08,58.29
2013/11/01,56.58
2013/12/02,64.02
2014/01/02,65.69
2014/02/07,65.9
2014/03/03,74.52
2014/04/01,60.11
2014/05/05,41.38
2014/06/03,37.93
2014/07/01,37.76
2014/08/01,37.7
2014/09/01,42.45
2014/10/08,40.4
2014/11/03,38.09
2014/12/01,35.51
2015/01/05,35.18
2015/02/02,41.11
2015/03/02,48.49
2015/04/01,49.91
2015/05/04,49.91
2015/06/01,47.37
2015/07/01,37.22
2015/08/03,32.66
2015/09/01,27.95
2015/10/08,36.16
2015/11/02,37.57
2015/12/01,35.51
2016/01/04,27.67
2016/02/01,27.18
2016/03/01,22.29
2016/04/01,20.96
2016/05/03,20.96
2016/06/01,20.96
