Date,SH600736.Close
2001/08/08,10.83
2001/09/03,10.57
2001/10/08,9.42
2001/11/01,9.5
2001/12/03,9.46
2002/01/04,7.82
2002/02/01,8.01
2002/03/01,9.37
2002/04/01,9.42
2002/05/08,9.29
2002/06/03,9.14
2002/07/01,10.01
2002/08/01,9.74
2002/09/02,9.3
2002/10/08,8.57
2002/11/01,7.93
2002/12/02,7.43
2003/01/02,7.52
2003/02/10,7.94
2003/03/03,7.68
2003/04/01,7.73
2003/05/12,7.28
2003/06/02,7.45
2003/07/01,7.06
2003/08/01,6.95
2003/09/01,6.72
2003/10/08,6.41
2003/11/03,5.99
2003/12/01,6.15
2004/01/02,6.27
2004/02/02,7.07
2004/03/01,7.1
2004/04/01,7.56
2004/05/10,6.69
2004/06/01,6.06
2004/07/01,5.75
2004/08/02,5.24
2004/09/01,5.38
2004/10/08,5.44
2004/11/01,5.38
2004/12/01,5.26
2005/01/04,5.0
2005/02/01,5.02
2005/03/01,5.66
2005/04/01,5.14
2005/05/09,4.46
2005/06/01,4.52
2005/07/01,3.88
2005/08/01,4.33
2005/09/01,4.86
2005/10/10,5.04
2005/11/01,5.06
2005/12/01,5.04
2006/01/04,5.56
2006/02/06,6.28
2006/03/01,5.8
2006/04/03,4.89
2006/05/08,4.95
2006/06/01,4.86
2006/07/03,4.98
2006/08/01,4.54
2006/09/01,4.71
2006/10/09,4.77
2006/11/01,4.75
2006/12/01,5.23
2007/01/04,6.3
2007/02/01,7.22
2007/03/01,7.68
2007/04/02,10.27
2007/05/08,12.71
2007/06/01,13.04
2007/07/02,14.69
2007/08/01,17.92
2007/09/03,18.22
2007/10/08,16.33
2007/11/01,15.44
2007/12/03,14.31
2008/01/02,15.72
2008/02/01,15.41
2008/03/03,15.58
2008/04/01,13.1
2008/05/05,6.94
2008/06/02,5.15
2008/07/01,4.82
2008/08/01,4.01
2008/09/01,3.4
2008/10/06,2.89
2008/11/03,2.75
2008/12/01,3.52
2009/01/05,3.46
2009/02/02,4.27
2009/03/02,4.45
2009/04/01,5.16
2009/05/04,5.67
2009/06/01,5.85
2009/07/01,7.45
2009/08/03,6.95
2009/09/01,6.68
2009/10/09,7.18
2009/11/02,8.44
2009/12/01,9.1
2010/01/04,7.65
2010/02/01,7.14
2010/03/01,7.74
2010/04/01,7.86
2010/05/04,6.17
2010/06/01,5.92
2010/07/01,5.83
2010/08/02,6.33
2010/09/01,6.05
2010/10/08,6.11
2010/11/01,5.75
2010/12/01,5.39
2011/01/04,5.13
2011/02/01,5.8
2011/03/01,8.1
2011/04/01,8.18
2011/05/03,7.1
2011/06/01,6.22
2011/07/01,6.29
2011/08/01,5.57
2011/09/01,5.33
2011/10/10,5.26
2011/11/01,5.6
2011/12/01,4.68
2012/01/04,4.45
2012/02/01,4.84
2012/03/01,5.2
2012/04/05,5.66
2012/05/02,6.08
2012/06/01,5.74
2012/07/02,5.24
2012/08/01,4.81
2012/09/03,4.64
2012/10/08,4.5
2012/11/01,4.27
2012/12/03,4.36
2013/01/04,4.68
2013/02/01,4.57
2013/03/01,4.17
2013/04/01,3.99
2013/05/02,4.17
2013/06/03,3.91
2013/07/01,3.58
2013/08/01,3.69
2013/09/02,4.05
2013/10/08,3.94
2013/11/01,3.93
2013/12/02,4.26
2014/01/02,3.78
2014/02/07,3.89
2014/03/03,3.74
2014/04/01,3.92
2014/05/05,3.71
2014/06/03,3.61
2014/07/01,3.8
2014/08/01,3.98
2014/09/01,4.32
2014/10/08,4.86
2014/11/03,5.16
2014/12/01,5.85
2015/01/05,5.7
2015/02/02,5.6
2015/03/02,7.0
2015/04/01,8.51
2015/05/04,10.67
2015/06/01,14.59
2015/07/01,8.79
2015/08/03,9.09
2015/09/01,8.15
2015/10/08,8.15
2015/11/02,8.15
2015/12/01,8.93
2016/01/04,9.54
2016/02/01,8.81
2016/03/01,8.56
2016/04/01,8.86
2016/05/03,8.72
2016/06/01,8.61
