Date,SZ002143.Close
2007/07/20,34.48
2007/08/01,33.16
2007/09/03,29.25
2007/10/08,26.35
2007/11/01,22.29
2007/12/03,26.32
2008/01/02,27.73
2008/02/01,24.22
2008/03/03,22.05
2008/04/01,17.08
2008/05/05,17.32
2008/06/02,8.67
2008/07/01,8.79
2008/08/01,7.17
2008/09/01,6.0
2008/10/06,4.64
2008/11/03,4.51
2008/12/01,5.9
2009/01/05,5.97
2009/02/02,7.89
2009/03/02,8.93
2009/04/01,9.46
2009/05/04,9.94
2009/06/01,10.59
2009/07/01,11.25
2009/08/03,12.3
2009/09/01,12.41
2009/10/09,12.32
2009/11/02,13.24
2009/12/01,13.65
2010/01/04,13.74
2010/02/01,12.77
2010/03/01,14.33
2010/04/01,14.57
2010/05/04,11.66
2010/06/01,10.6
2010/07/01,9.18
2010/08/02,11.13
2010/09/01,11.19
2010/10/08,11.05
2010/11/01,11.23
2010/12/01,10.59
2011/01/04,9.81
2011/02/01,9.61
2011/03/01,10.23
2011/04/01,10.46
2011/05/03,10.7
2011/06/01,9.23
2011/07/01,9.86
2011/08/01,8.87
2011/09/01,8.86
2011/10/10,9.04
2011/11/01,9.7
2011/12/01,8.34
2012/01/04,7.95
2012/02/01,8.63
2012/03/01,9.28
2012/04/05,8.5
2012/05/02,8.73
2012/06/01,7.75
2012/07/02,6.21
2012/08/01,6.25
2012/09/03,5.94
2012/10/08,5.83
2012/11/01,5.33
2012/12/03,4.91
2013/01/04,5.5
2013/02/01,5.64
2013/03/01,5.5
2013/04/01,5.25
2013/05/02,5.22
2013/06/03,5.01
2013/07/01,4.69
2013/08/01,5.04
2013/09/02,5.62
2013/10/08,6.69
2013/11/01,6.69
2013/12/02,6.69
2014/01/02,6.69
2014/02/07,6.69
2014/03/03,6.69
2014/04/01,10.86
2014/05/05,14.97
2014/06/03,15.79
2014/07/01,17.37
2014/08/01,18.95
2014/09/01,21.23
2014/10/08,18.91
2014/11/03,17.77
2014/12/01,16.34
2015/01/05,17.21
2015/02/02,17.69
2015/03/02,21.15
2015/04/01,24.86
2015/05/04,26.89
2015/06/01,36.05
2015/07/01,32.11
2015/08/03,32.62
2015/09/01,23.36
2015/10/08,24.08
2015/11/02,30.84
2015/12/01,40.89
2016/01/04,30.97
2016/02/01,26.03
2016/03/01,25.22
2016/04/01,27.23
2016/05/03,24.59
2016/06/01,23.27
